category,budget_max,duration,budget_per_day,requirement_title
Frontend Developer,2500,80,31.25,SEO and Keywords Strategy
Frontend Developer,2500,80,31.25,Project Scope Statement
Frontend Developer,2200,80,27.5,Third-Party Integrations List
Frontend Developer,1900,80,23.75,SEO and Keywords Strategy
Frontend Developer,1700,85,20.0,Project Scope Statement
Frontend Developer,1400,85,16.47,Environment Parity Checklist
Frontend Developer,1200,85,14.12,SEO and Keywords Strategy
Frontend Developer,1000,88,11.36,Device and OS Target List
Frontend Developer,17000,32,531.25,Accessibility Audit Report
Frontend Developer,17000,32,531.25,Performance Benchmarks
Frontend Developer,15000,31,483.87,Frontend Tech Stack Agreement
Frontend Developer,11500,29,396.55,UI Component Specifications
Frontend Developer,9800,27,362.96,Responsive Design Spec
Frontend Developer,8200,43,190.7,Accessibility Audit Report
Frontend Developer,7200,43,167.44,State Management Plan
Frontend Developer,6000,58,103.45,Animation and Motion Guidelines
Frontend Developer,4800,57,84.21,Browser Compatibility Matrix
Frontend Developer,3500,82,42.68,SEO and Keywords Strategy
Frontend Developer,2000,82,24.39,Project Scope Statement
Frontend Developer,18000,33,545.45,Accessibility Audit Report
Frontend Developer,12500,28,446.43,Performance Benchmarks
Frontend Developer,9200,28,328.57,Cross-Device Testing Report
Frontend Developer,7800,43,181.4,Frontend Tech Stack Agreement
Frontend Developer,6200,58,106.9,Error Boundary Strategy
Frontend Developer,4400,56,78.57,Build and Bundle Config
Frontend Developer,2800,82,34.15,SEO and Keywords Strategy
Frontend Developer,10200,27,377.78,Accessibility Audit Report
Frontend Developer,7600,43,176.74,Responsive Design Spec
Frontend Developer,5400,57,94.74,PWA Manifest and Config
Frontend Developer,3200,80,40.0,Third-Party Integrations List
Frontend Developer,13500,29,465.52,Accessibility Audit Report
Frontend Developer,8600,43,200.0,Performance Benchmarks
Frontend Developer,6400,58,110.34,Asset Delivery Guidelines
Frontend Developer,3800,80,47.5,Environment Parity Checklist
